domain,html_size,widget_count,widgets,ai_signal,generic_chat_hint
customink.com,426126,1,Facebook Messenger Plugin,0,1
cutsclothing.com,836411,0,,0,1
cuyana.com,309437,0,,0,1
cykloteket.com,277296,0,,0,0
cynthiarowley.com,240304,0,,0,0
dagnedover.com,741740,0,,0,1
dailyharvest.com,1402059,0,,0,1
daiso.com,71537,0,,0,1
dalfilo.com,737782,0,,0,1
danielwellington.com,537776,1,Gorgias,0,1
daviddonahue.com,547527,0,,0,1
davidsbridal.com,317172,0,,0,1
deathwishcoffee.com,463554,1,Gorgias,0,1
decathlon.com,869568,1,Gorgias,0,1
decked.com,232056,1,HubSpot Chat,0,1
decorsteals.com,318463,1,Gorgias,0,1
delugs.com,1029137,1,Reamaze,0,1
denimtears.com,293844,1,Gorgias,0,1
dermalogica.com,797629,1,Zendesk,0,1
desky.com,923427,1,Reamaze,0,1
deux.co,320129,1,Intercom,0,1
deuxpardeux.com,1540848,1,Gorgias,0,1
dianevonfurstenberg.com,1582348,1,Gorgias,0,1
diff.com,620632,0,,0,1
dime.com,287725,0,,0,1
dkny.com,1081685,1,Olark,0,1
doebeauty.com,341134,0,,0,1
doelashes.com,341134,0,,0,1
dollarshaveclub.com,377597,1,Gorgias,0,1
domu.com,168376,0,,0,1
donaldrussell.com,318856,0,,0,1
doseofcolors.com,379926,0,,0,1
dr-sams.com,88281,0,,0,1
drbronners.com,366755,1,Gorgias,0,1
dressbarn.com,568066,1,Gorgias,0,1
drsquatch.com,574306,0,,0,1
dryeyerescue.com,1117874,1,Gorgias,0,1
dunhill.com,124805,0,,0,1
duradry.com,430344,0,,0,1
easyspirit.com,503955,1,Gorgias,0,1
easystandard.shop,80678,0,,0,0
eaze.com,157273,0,,0,1
ebdenim.com,477696,0,,0,1
ecoflow.com,949319,0,,0,1
edenpark.com,222159,1,HubSpot Chat,0,1
edgardcooper.com,268540,0,,0,1
eightsleep.com,1116097,0,,0,1
ekster.com,826319,1,Gorgias,0,1
eleatcereal.com,548131,1,Gorgias,0,1
elevatedfaith.com,691711,1,Reamaze,0,1
elkspringsresort.com,164584,0,,0,1
ellanacosmetics.com,572145,0,,0,1
emarinella.com,1946143,2,Crisp;WhatsApp Button,0,1
emazinglights.com,1074471,1,Gorgias,0,1
emijay.com,247961,1,Help Scout,0,1
emmabridgewater.com,916035,0,,0,1
emuaid.com,591105,1,Gorgias,0,1
endorphins.com,46450,0,,0,0
endorphinsrunning.com,107669,0,,0,1
engold.com,791900,0,,0,1
eos.com,325710,0,,0,1
escaladesports.com,305274,0,,0,1
esmiskinminerals.com,391012,1,Gorgias,0,1
estellecoloredglass.com,667402,0,,0,1
estherandco.com,929063,1,Gorgias,0,0
ethique.com,305443,0,,0,1
eurekarestaurantgroup.com,174663,0,,0,1
evereve.com,1240188,1,Zendesk,0,1
everlane.com,859687,0,,0,1
everlast.com,656289,0,,0,1
everymanjack.com,1015896,1,Gorgias,0,1
evestar.com,99852,1,HubSpot Chat,0,0
ezbombs.com,513179,1,Gorgias,0,1
fable.com,624487,0,,0,1
fabletics.com,1857709,0,,0,1
faherty.com,20639,0,,0,0
fairfax.com,160861,0,,0,1
fanjoy.com,68641,0,,0,0
farmhounds.com,399048,1,Gorgias,0,1
fashionnova.com,1066139,0,,0,1
fathead.com,880832,1,Gorgias,0,1
fauchon.com,1357194,0,,0,1
feals.com,717223,1,Gorgias,0,1
feastables.com,751645,1,Kustomer,0,1
fieldcompany.com,353696,1,Gorgias,0,1
fiestatableware.com,67705,0,,0,1
fillingpieces.com,1147442,1,Gorgias,1,1
filson.com,475256,0,,0,1
filtrous.com,522927,0,,0,1
finisterre.com,898923,1,Gorgias,0,1
finn.com,639875,0,,0,1
firedeptcoffee.com,677810,1,Reamaze,0,1
fishwife.com,5909,0,,0,0
flaviar.com,1932668,1,Intercom,0,1
flewd.com,1463543,1,Gorgias,0,0
flock.com,63665,1,Zendesk,0,1
flowwater.com,364678,1,Gorgias,0,1
flybubble.com,740224,0,,0,1
folkclothing.com,662432,0,,0,1
forceofnature.com,969848,1,Gorgias,0,1
fordays.com,216593,1,Gorgias,0,1
forothers.com,236701,0,,0,1
foursigmatic.com,2097152,1,Gorgias,0,1
framebridge.com,401617,0,,0,1
francfranc.com,2097152,0,,0,1
frank.com,456513,0,,0,1
frankie4.com,1258418,1,Gorgias,0,1
freetheroots.com,505378,0,,0,1
freshchileco.com,820706,1,Gorgias,0,1
freshcleanthreads.com,576234,1,Gorgias,0,1
freshlycosmetics.com,221888,1,Kustomer,0,1
freshpatch.com,477301,2,Gorgias;Reamaze,0,1
frey.com,697704,2,Gorgias;Crisp,0,1
fromfuture.com,621727,1,Gorgias,0,0
frostbuddy.com,1056813,1,Gorgias,0,1
fuegodance.com,1096749,1,Gorgias,0,1
function18.com,870204,0,,0,1
functionofbeauty.com,865418,2,Gorgias;Freshchat,0,1
funkitwellness.com,542529,1,Gorgias,0,1
funnyfuzzy.com,2097152,0,,0,1
gainsinbulk.com,1439495,0,,0,1
garrettpopcorn.com,73283,1,Zendesk,0,1
geektropical.com,632822,0,,0,1
geologie.com,971973,0,,0,1
georgiemane.com,585189,2,Gorgias;Facebook Messenger Plugin,0,1
gesswein.com,1212977,0,,0,1
gfuel.com,1327753,2,Gorgias;Zendesk,0,1
ghostbed.com,264439,1,Zendesk,0,1
giesswein.com,1317302,1,Zendesk,0,1
girlswithgems.com,1520220,1,Gorgias,0,1
giva.com,10672,0,,0,0
glamnetic.com,522258,1,Gorgias,0,1
glamrdip.com,635585,0,,0,1
glasvin.com,395026,1,Gorgias,0,0
glossier.com,607219,1,Gorgias,0,0
glow25.com,653586,0,,0,1
glowforge.com,1601965,0,,0,1
glowrecipe.com,1485901,1,Kustomer,0,1
goatfoods.com,135504,0,,0,1
golde.com,42631,0,,0,1
goldenhippo.com,1210215,0,,0,1
golfkicks.com,114307,0,,0,1
goodamerican.com,2097152,0,,0,1
goodr.com,855110,0,,0,1
goodranchers.com,361880,0,,0,1
gorillabow.com,612661,0,,0,1
gourmetgiftbaskets.com,247690,0,,0,1
gozney.com,511724,1,Zendesk,0,1
grace.com,99296,0,,0,1
grasslandmarket.com,7600,0,,0,0
gratsi.com,581318,0,,0,1
graza.com,336817,0,,0,0
grecogum.com,191948,0,,0,1
greengoo.com,956543,0,,0,1
greshamblake.com,865778,0,,0,1
grind.com,2296,0,,0,0
grinds.com,14801,0,,0,0
grns.com,33249,0,,0,1
groupemarcelle.com,266360,0,,0,1
grovecollaborative.com,2097152,0,,0,1
growoya.com,319060,0,,0,1
gruns.co,880461,0,,0,1
gruntstyle.com,1598355,1,Gorgias,0,1
guideposts.com,526165,0,,0,1
gunnerkennels.com,364781,1,Gorgias,0,1
guruenergy.com,968962,1,Gorgias,0,1
gurunanda.com,576109,0,,0,1
gymshark.com,41048,0,,0,0
haakaa.com,486169,0,,0,1
halfdays.com,832131,0,,0,1
hammitt.com,1327013,0,,0,0
happyhippo.com,1757463,0,,0,1
happymammoth.com,1063071,0,,0,1
happyv.com,1364171,1,Gorgias,0,1
happyviking.com,291524,0,,0,1
happywax.com,340239,2,Gorgias;Zendesk,0,1
hardyakka.com,181687,0,,0,1
harperwilde.com,999833,1,Gorgias,0,1
harryrosen.com,633343,0,,0,1
harrys.com,2097152,0,,0,1
hart.com,224232,0,,0,1
hasbropulse.com,760039,1,Zendesk,0,1
hatclub.com,1242688,1,Gorgias,0,1
healf.com,1249912,0,,0,1
heartmagiccacao.com,1369308,1,Tidio,0,1
heatonist.com,453922,1,Gorgias,0,0
hedleyandbennett.com,1556624,1,Gorgias,0,1
hedleybennett.com,1556624,1,Gorgias,0,1
heights.com,1256835,1,Gorgias,0,1
hellobello.com,1002497,0,,0,1
helloworld.com,19433,0,,0,1
heritagesteel.com,304589,0,,0,1
herlipto.com,17521,0,,0,1
herthabsc.com,886745,0,,0,0
hexclad.com,1549705,0,,0,1
hikoco.com,1059502,2,Crisp;Facebook Messenger Plugin,1,1
himshers.co,32895,0,,0,0
hint.com,266959,1,HubSpot Chat,0,1
holy.com,915601,1,WhatsApp Button,0,1
homefield.com,24972,0,,0,1
hommey.com,58089,0,,0,0
honest.com,338402,0,,0,1
honeybirdette.com,541911,1,Zendesk,0,1
hoonigan.com,1351018,1,Gorgias,0,1
hopwtr.com,794193,1,Gorgias,0,1
houseofchikankari.com,44056,0,,0,1
hudabeauty.com,1716524,0,,0,1
huel.com,965380,0,,0,1
huha.com,7503,0,,0,1
hunter.com,251319,0,,0,1
huron.com,171964,0,,0,0
hush.com,190244,0,,0,1
hydromate.com,419034,1,Gorgias,0,1
hyloathletics.com,275874,0,,0,1
ilia.com,8340,0,,0,1
iliabeauty.com,983330,1,Gorgias,0,1
imgadgets.com,2097152,0,,0,1
impactdogcrates.com,2097152,0,,0,1
inaessentials.com,1584473,0,,0,0
incu.com,397205,1,Gorgias,0,1
inheritclothing.com,1194340,0,,0,1
innonature.co,1608119,0,,0,1
innopharmaeducation.com,122062,0,,0,1
innosupps.com,985846,0,,0,1
insanelabz.com,463608,0,,0,1
insertnamehere.com,97276,0,,0,0
instanthydration.com,300836,0,,0,1
intakebreathing.com,318173,1,Gorgias,0,1
internationalmilitaryantiques.com,473890,0,,0,1
inveterate.com,142299,1,HubSpot Chat,0,0
italist.com,998903,1,Gorgias,0,1
itokri.com,2097152,0,,0,1
jabraenhance.com,117433,0,,0,1
jackedupfitness.com,359007,0,,0,1
jackerwin.com,388694,0,,0,0
jackrogers.co,3134,0,,0,0
jadedlondon.com,7712,0,,0,0
jamieoliver.com,758325,0,,0,1
jaxxon.com,1378602,0,,0,1
jbalvin.com,455008,0,,0,1
jco.us,4170,0,,0,0
jeffdebruges.com,436218,1,Zendesk,0,0
jeffreestarcosmetics.com,781989,1,Gorgias,0,1
jennikayne.com,463674,0,,0,1
jibbycoffee.com,88762,1,Tidio,0,1
jigsaw.co,704859,0,,0,0
jimmyjoy.com,645499,1,Gorgias,0,1
jlindeberg.com,1120965,1,Gorgias,0,1
johnnieo.com,268077,0,,0,1
jonesroad.com,44048,0,,0,0
jonesroadbeauty.com,928695,0,,0,1
jordancraig.com,1182739,0,,0,1
josephjoseph.com,669277,1,Zendesk,0,1
josiemaran.com,226329,1,Gorgias,0,1
jot.co,770972,0,,0,1
jott.com,653742,0,,0,0
juicedbikes.com,274529,0,,0,1
july.com,536410,0,,0,1
juneshine.com,167562,0,,0,1
jungalow.com,714893,0,,0,1
jungluck.com,85435,0,,0,0
justingredients.com,1747092,1,Gorgias,0,1
jwpei.com,2097152,0,,0,0
kaged.com,532404,1,Gorgias,0,1
kamakurabeniya.com,1037700,0,,0,1
kashbeauty.com,604141,1,Tidio,0,1
katehewko.com,1074964,0,,0,1
kathmandu.com,1652,0,,0,0
keapathletics.com,236218,1,Gorgias,0,1
keen.com,309053,0,,0,1
kennyflowers.com,842835,1,Gorgias,0,1
keyzarjewelry.com,1670877,0,,0,1
kickassproducts.com,186314,0,,0,1
killstar.com,2097152,1,Reamaze,0,1
kindpatches.com,474298,0,,0,1
kinto.com,20269,1,Facebook Messenger Plugin,0,1
kitsch.com,1977459,0,,0,1
kitsie.com,44338,0,,0,1
kizik.com,1209852,0,,0,1
kmtools.com,825539,0,,0,1
knix.com,1507096,0,,0,1
knya.com,52792,0,,0,0
koalaeco.com,617662,0,,0,1
koh.com,1384188,1,Gorgias,0,1
kollectionk.com,219230,0,,0,0
kopari.com,617111,1,Gorgias,0,1
kotn.com,1417157,1,Gorgias,0,0
kravebeauty.com,634789,1,Gorgias,0,1
kswiss.com,862495,0,,0,1
kulanikini.com,310912,1,Intercom,0,1
kulanikinis.com,725953,0,,0,1
kurand.com,1711912,0,,0,1
kway.com,394813,1,Gorgias,0,1
kyliecosmetics.com,626167,0,,0,1
lairdsuperfood.com,392302,0,,0,1
lalo.com,170463,0,,0,1
lamaisonconvertible.com,716493,0,,0,1
lambert.com,67515,1,HubSpot Chat,0,0
lamy.com,2097152,0,,0,1
larroude.com,643213,0,,0,1
lashify.com,1740470,0,,0,1
laticoleathers.com,946483,0,,0,1
